Name,Calls,TotalDurationNs,AverageNs,Percentage
hipMemcpy,4,1075962333,268990583,99.3676327235819
hipLaunchKernel,802,3396761,4235,0.313698806311082
hipMalloc,3,1972061,657353,0.182124436094455
__hipPopCallConfiguration,802,516531,644,0.0477028434213268
__hipPushCallConfiguration,802,491640,613,0.0454041014763124
hipFree,3,314981,104993,0.0290892305083198
hipEventSynchronize,3,82570,27523,0.00762553221645739
hipEventRecord,6,33010,5501,0.00304855054457138
hipEventElapsedTime,3,24050,8016,0.00222107363214001
hipEventCreate,6,12150,2025,0.00112208085781709
hipEventDestroy,6,3580,596,0.000330621355636641
