Name,Calls,TotalDurationNs,AverageNs,Percentage
hipMemcpy,4,69743324,17435831,97.8844273270415
hipMalloc,3,975410,325136,1.36898334898792
hipLaunchKernel,85,253990,2988,0.356473770834256
hipFree,3,64430,21476,0.0904272020742987
__hipPushCallConfiguration,85,61480,723,0.0862868909440926
__hipPopCallConfiguration,85,51600,607,0.072420357396148
hipEventSynchronize,2,40180,20090,0.0563924410887059
hipEventElapsedTime,2,23250,11625,0.0326312656872178
hipEventRecord,4,21620,5405,0.0303435683508666
hipEventCreate,6,11760,1960,0.0165051047088895
hipEventDestroy,6,3640,606,0.00510872288608486
